Date_Time,CO(GT),C6H6(GT),NOx(GT)
2004-03-10 18:00:00,2.6,11.9,166.0
2004-03-10 19:00:00,2.0,9.4,103.0
2004-03-10 20:00:00,2.2,9.0,131.0
2004-03-10 21:00:00,2.2,9.2,172.0
2004-03-10 22:00:00,1.6,6.5,131.0
2004-03-10 23:00:00,1.2,4.7,89.0
2004-03-11 00:00:00,1.2,3.6,62.0
2004-03-11 01:00:00,1.0,3.3,62.0
2004-03-11 02:00:00,0.9,2.3,45.0
2004-03-11 05:00:00,0.7,1.1,16.0
2004-03-11 06:00:00,0.7,1.6,34.0
2004-03-11 07:00:00,1.1,3.2,98.0
2004-03-11 08:00:00,2.0,8.0,174.0
2004-03-11 09:00:00,2.2,9.5,129.0
2004-03-11 10:00:00,1.7,6.3,112.0
2004-03-11 11:00:00,1.5,5.0,95.0
2004-03-11 12:00:00,1.6,5.2,104.0
2004-03-11 13:00:00,1.9,7.3,146.0
2004-03-11 14:00:00,2.9,11.5,207.0
2004-03-11 15:00:00,2.2,8.8,184.0
2004-03-11 16:00:00,2.2,8.3,193.0
2004-03-11 17:00:00,2.9,11.2,243.0
2004-03-11 18:00:00,4.8,20.8,281.0
2004-03-11 19:00:00,6.9,27.4,383.0
2004-03-11 20:00:00,6.1,24.0,351.0
2004-03-11 21:00:00,3.9,12.8,240.0
2004-03-11 22:00:00,1.5,4.7,94.0
2004-03-11 23:00:00,1.0,2.6,47.0
2004-03-12 00:00:00,1.7,5.9,122.0
2004-03-12 01:00:00,1.9,6.4,133.0
2004-03-12 02:00:00,1.4,4.1,82.0
2004-03-12 05:00:00,0.6,1.0,30.0
2004-03-12 06:00:00,0.8,1.8,56.0
2004-03-12 07:00:00,1.4,4.4,109.0
2004-03-12 08:00:00,4.4,17.9,307.0
2004-03-12 10:00:00,3.1,14.0,187.0
2004-03-12 11:00:00,2.7,11.6,216.0
2004-03-12 12:00:00,2.1,10.2,143.0
2004-03-12 13:00:00,2.5,11.0,160.0
2004-03-12 14:00:00,2.7,12.8,163.0
2004-03-12 15:00:00,2.9,14.2,190.0
2004-03-12 16:00:00,2.8,12.7,178.0
2004-03-12 17:00:00,2.4,11.7,150.0
